fighter,Weight Division,Gender,Image URL
Alexander Volkanovski,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/VOLKANOVSKI_ALEXANDER_BELT_L_10-21.png?itok=-8dC8fPk
Alexander Volkov,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/VOLKOV_ALEXANDER_L_03-11.png?itok=utZuJcnI
Alexander Yakovlev,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67232/profile-galery/fullbodyleft-picture/YAKOVLEV_ALEXANDER_L.png?VersionId=R2Zs_BQfqYNMBkfWu8emYYYqVu.La5H9&itok=ok7XbKtK
Alexander Yakovlev,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67232/profile-galery/fullbodyleft-picture/YAKOVLEV_ALEXANDER_L.png?VersionId=R2Zs_BQfqYNMBkfWu8emYYYqVu.La5H9&itok=ok7XbKtK
Alexandr Romanov,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/ROMANOV_ALEXANDR_L_07-01.png?itok=s4EJYbLH
Alexandre Barros,170,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alexandre Dantas,265,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alexandre Ferreira,205,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Alexandre Pantoja,125,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-12/PANTOJA_ALEXANDRE_L_12-16.png?itok=KUFPMuog
Alexis Davis,135,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-06/DAVIS_ALEXIS_L_06-12.png?itok=6Qtsf3SO
Alexis Davis,125,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-06/DAVIS_ALEXIS_L_06-12.png?itok=6Qtsf3SO
Alexis Dufresne,135,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Alexis-Dufresne_479266_LeftFullBodyImage.png?itok=VYzwbW9_
Ali AlQaisi,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-10/71683%252Fprofile-galery%252Ffullbodyleft-picture%252FALQAISI_ALI_L_08-08.png?itok=1gCFMhbe
Ali Bagautinov,125,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Ali-Bagautinov_335521_LeftFullBodyImage.png?itok=3sOk2gDh
